,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,C150_4,C150_L4,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost
4260,,Oakland Community College,Bloomfield Hills,1,2,2,1,3.0,,15304.0,True,5043.0,,10055.0,,1683.0,4212.0,8687.0,1.0,,0.1058,,0.4784,,0.4325,0.1824,0.4052,,,,5500.0,2013,5043.0,10055.0
4261,,Oakland University,Rochester Hills,1,3,4,1,3.0,0.66,16113.0,True,11665.0,,19198.0,,9411.0,7570.0,8482.0,0.5282,0.4295,,0.7814,,0.4369,,0.3689,0.20600000000000002,,,,18250.0,2013,11665.0,19198.0
4262,,Olivet College,Olivet,1,3,4,2,3.0,0.5148,1016.0,True,,18341.0,31515.0,,12367.0,5069.0,5258.0,1.0,0.4341,,0.6397,,0.5,,0.8011,0.0527,,,,19000.0,2013,18341.0,31515.0
4263,,Port Huron Cosmetology College,Waterford,1,1,1,3,3.0,,82.0,True,,9651.0,,12358.0,3294.0,1459.0,,,,0.5238,,0.8125,,0.8,0.469,0.5732,,,,5500.0,2013,9651.0,12358.0
4264,,Kuyper College,Grand Rapids,1,3,4,2,3.0,0.6842,283.0,True,,16586.0,26213.0,,12964.0,9926.0,5270.0,0.3934,0.4179,,0.7879,,,,0.7595,0.1597,,,,18500.0,2013,16586.0,26213.0
4265,,Ross Medical Education Center-Lansing,Lansing,5,1,1,3,3.0,,151.0,True,,19442.0,,22731.0,5132.0,1485.0,,,,0.7462,,0.7273,,,0.5267,0.4901,,,,9500.0,2013,19442.0,22731.0
4266,,Ross Medical Education Center-Madison Heights,Madison Heights,5,1,1,3,3.0,,270.0,True,,17376.0,,21516.0,5091.0,1164.0,,,,0.8140000000000001,,0.8469,,,0.4808,0.4444,,,,9500.0,2013,17376.0,21516.0
4267,,Ross Medical Education Center-Flint,Flint,7,1,1,3,3.0,,307.0,True,,18681.0,,22636.0,4726.0,1067.0,,,,0.6772,,0.8,,,0.4865,0.4756,,,,9500.0,2013,18681.0,22636.0
4268,,Sacred Heart Major Seminary,Detroit,1,3,4,2,3.0,1.0,154.0,True,,,,,14186.0,12647.0,3946.0,0.4342,0.5,,1.0,,1.0,,0.0833,0.8144,,,,,2013,,
4269,,Saginaw Valley State University,University Center,1,3,4,1,3.0,0.7865,8687.0,True,14049.0,,17876.0,,7793.0,6129.0,7489.0,0.4233,0.3894,,0.7046,,0.4444,,0.6985,0.174,,,,19000.0,2013,14049.0,17876.0
4270,,Schoolcraft College,Livonia,1,2,2,1,3.0,,9535.0,True,4310.0,,8550.0,,2111.0,3649.0,9649.0,0.2161,,0.1711,,0.5808,,0.5475,0.1722,0.3604,,,,4501.0,2013,4310.0,8550.0
4271,,Siena Heights University,Adrian,1,3,4,2,3.0,0.6765,2325.0,True,,17275.0,31980.0,,9187.0,5261.0,5676.0,0.9785,0.431,,0.5912,,0.3333,,0.6817,0.4971,,,,15328.0,2013,17275.0,31980.0
4272,,St Clair County Community College,Port Huron,1,2,2,1,3.0,,3588.0,True,5744.0,,10118.0,,3262.0,5464.0,8098.0,0.2907,,0.1582,,0.5932,,0.4688,0.243,0.2847,,,,6068.0,2013,5744.0,10118.0
4273,,Southwestern Michigan College,Dowagiac,1,2,2,1,3.0,,2419.0,True,9070.0,,13118.0,,4107.0,5575.0,6351.0,0.2718,,0.1738,,0.5569,,0.3475,0.3695,0.2769,,,,7491.0,2013,9070.0,13118.0
4274,,Specs Howard School of Media Arts,Southfield,1,1,1,3,3.0,,597.0,True,,,,,7928.0,1505.0,,,,0.7108,,,,0.6444,0.5272,0.4003,,,,10254.5,2013,,
4275,,Spring Arbor University,Spring Arbor,1,3,4,2,3.0,0.6505,2860.0,True,,16368.0,32709.0,,10534.0,6679.0,4953.0,0.2291,0.5673,,0.7572,,0.0,,0.74,0.4562,,,,20729.0,2013,16368.0,32709.0
4276,,Michigan Career and Technical Institute,Plainwell,1,1,1,1,3.0,,200.0,True,14595.0,,20625.0,,9.0,12332.0,,,,0.7872,,0.8252,,,0.0,0.09,,,,,2013,14595.0,20625.0
4277,,Finlandia University,Hancock,1,3,3,2,3.0,0.5883,498.0,True,,17467.0,29377.0,,14332.0,7809.0,4912.0,1.0,0.4625,,0.5747,,1.0,,0.8301,0.2076,,,,20755.0,2013,17467.0,29377.0
4278,,Thomas M Cooley Law Schoo,Lansing,1,4,4,2,3.0,,,True,,,,,21798.0,10992.0,11617.0,0.3767,,,,,,,,,,,,,2013,,
4279,,Twin City Beauty College,Saint Joseph,1,1,1,3,3.0,,111.0,True,,14673.0,,17013.0,5780.0,2015.0,,,,,,1.0,,0.5152,0.7143,0.2072,,,,7292.5,2013,14673.0,17013.0
