,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost,PREDDEG_N,Governance,EnrollmentBins,TuitionBins,ExpenditureBins,Complete,RetentionFT,RetentionPT
897,00104706,troy university-atlantic region,Norfolk,8,0,0,1,5.0,,986.0,False,2090.5,4392.5,,0.2481,,0.4245,0.171946689972,0.346515184619,0.128031461656,14750.0,2010,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
898,00104720,troy university-western region,Colorado Springs,8,0,0,1,7.0,,986.0,False,2090.5,4392.5,,0.2481,,0.4245,0.171946689972,0.346515184619,0.128031461656,14750.0,2010,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
1693,00104720,troy university-western region,Colorado Springs,7,0,0,1,7.0,,986.0,False,2090.5,4392.5,,0.2481,,0.4245,0.211538461538,0.324623745819,0.126254180602,15829.0,2011,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
899,001047A1,troy university-ecampus,Troy,8,0,0,1,5.0,,986.0,False,2090.5,4392.5,,0.2481,,0.4245,0.171946689972,0.346515184619,0.128031461656,14750.0,2010,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
3,00107000,thunderbird school of global management,Glendale,1,1,4,2,6.0,,2.0,False,49859.0,33004.0,10567.0,0.6301,0.0,0.5258,0.604933726068,0.0,0.0,9500.0,2010,14996.0,19623.0,Certificate,Private nonprofit,small,highest,highest,0.75,0.74085,
935,00107000,thunderbird school of global management,Glendale,1,1,4,2,6.0,,2.0,False,56047.0,37532.0,10648.0,0.6912,0.0,0.5,1.0,0.0,0.0,20500.0,2011,14996.0,19623.0,Certificate,Private nonprofit,small,highest,highest,0.75,0.74085,
1729,00107000,thunderbird school of global management,Glendale,2,1,4,2,6.0,,3.0,False,50562.0,42971.0,11502.0,0.6216,0.0,0.5,1.0,0.0,0.0,20500.0,2012,14996.0,19623.0,Certificate,Private nonprofit,small,highest,highest,0.75,0.74085,
2469,00107000,thunderbird school of global management,Glendale,2,1,4,2,6.0,,2.0,False,62758.0,53366.0,10953.0,0.6027,0.0,0.5,1.0,0.0,0.0,6280.0,2013,14996.0,19623.0,Certificate,Private nonprofit,small,highest,highest,0.75,0.74085,
533,00109002,arkansas state university-newport,Newport,3,1,2,1,5.0,,1553.0,False,1829.0,3960.0,4157.0,1.0,0.2602,0.5,0.298323640096,0.261717413616,0.092370851865,12874.0,2010,5258.0,10215.0,Certificate,Public,large,low,med,0.3388,0.6279,0.1429
1385,00109002,arkansas state university-newport,Newport,3,1,2,1,5.0,,1500.0,False,980.0,2350.0,4116.0,1.0,0.17600000000000002,0.324,0.331399097357,0.273372018053,0.068343004513,13000.0,2011,3769.0,8971.0,Certificate,Public,large,low,low,0.3673,0.6111,0.4416
2083,00109002,arkansas state university-newport,Newport,3,1,2,1,5.0,,1300.0,False,1029.0,2333.0,4466.0,1.0,0.1422,0.324,0.344129554656,0.283979178716,0.061596298438,13250.0,2012,4665.0,9497.0,Certificate,Public,large,low,low,0.4141,0.4983,0.3587
7896,00109002,arkansas state university-newport,Newport,1,1,2,1,5.0,,1311.0,True,1872.0,3993.0,4490.0,1.0,0.1757,0.3184,0.344129554656,0.283979178716,0.061596298438,3595.5,2013,4232.0,9282.0,Certificate,Public,large,low,med,0.4457,0.5353,0.4125
20,00112100,bethany university,Scotts Valley,1,3,4,2,8.0,0.6163,361.0,False,11215.0,8981.0,1727.0,0.2941,0.2458,0.3184,0.272727272727,0.145454545455,0.060606060606,11000.0,2010,16129.0,28850.0,Bachelor,Private nonprofit,medium,highest,high,0.4433,0.3699,0.0
321,001164A1,brandman university part of the chapman university system,Irvine,2,3,4,2,8.0,,2897.0,False,11658.0,4313.0,8206.0,0.0801,0.6435,0.3184,0.49418084154,0.26678603402,0.009847806625,15750.0,2010,20391.0,36240.0,Bachelor,Private nonprofit,xl,highest,med,0.54155,0.7528,
903,001280A1,san joaquin general hospital school of radiation technology,French Camp,2,0,0,1,8.0,,986.0,False,2090.5,4392.5,,0.2481,,0.3184,0.045964125561,0.122944693572,0.101270553064,8500.0,2010,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
9836,001280A1,san joaquin general hospital school of radiation technology,French Camp,2,0,0,1,8.0,,986.0,True,2090.5,4392.5,,0.2481,,0.3184,0.045964125561,0.122944693572,0.101270553064,6125.0,2013,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
925,00145949,strayer university-penn center west campus,Pittsburgh,85,0,0,3,2.0,,156.5,False,8550.5,2898.0,,0.2157,,0.3184,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
1713,00145949,strayer university-penn center west campus,Pittsburgh,84,0,0,3,2.0,,156.5,False,8550.5,2898.0,,0.2157,,0.3184,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
2376,00145949,strayer university-penn center west campus,Pittsburgh,93,0,0,3,2.0,,156.5,False,8550.5,2898.0,,0.2157,,0.3184,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
10107,00145949,strayer university-penn center west campus,Pittsburgh,99,0,0,3,2.0,,156.5,False,8550.5,2898.0,,0.2157,,0.3184,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
758,00145955,strayer university-kentucky,Lexington,85,3,4,3,5.0,,960.0,False,11172.0,653.0,6466.0,0.1724,0.8172,0.3184,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,34252.0,34752.0,Bachelor,Private for-profit,large,highest,low,0.207,0.0,0.3306
1547,00145955,strayer university-kentucky,Lexington,84,3,4,3,5.0,,746.0,False,17388.0,1840.0,5919.0,0.1224,0.8616,0.83,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,29061.0,31329.0,Bachelor,Private for-profit,large,highest,low,0.207,0.0,0.3077
2214,00145955,strayer university-kentucky,Lexington,93,3,4,3,5.0,,566.0,False,16272.0,1925.0,4870.0,0.1429,0.3109,0.83,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,29524.0,31374.0,Bachelor,Private for-profit,large,highest,low,0.207,0.0,0.1176
8671,00145955,strayer university-kentucky,Lexington,99,3,4,3,5.0,,424.0,False,15523.0,2111.0,6639.0,0.1389,0.8339,0.8443,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,29316.0,32554.0,Bachelor,Private for-profit,medium,highest,low,0.207,0.0,0.2632
926,00145956,strayer university-louisville campus,Louisville,85,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8443,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
1715,00145956,strayer university-louisville campus,Louisville,84,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8443,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
2378,00145956,strayer university-louisville campus,Louisville,93,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8443,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
10137,00145956,strayer university-louisville campus,Louisville,99,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8443,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
807,00145975,strayer university-utah,Sandy,85,3,4,3,7.0,,114.0,False,9431.0,496.0,7158.0,0.2,0.746,0.8443,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,31374.0,31374.0,Bachelor,Private for-profit,small,high,low,0.207,0.3095,0.2153
1577,00145975,strayer university-utah,Sandy,84,3,4,3,7.0,,126.0,False,13782.0,1262.0,5474.0,0.04,0.8065,0.8809999999999999,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,31374.0,31374.0,Bachelor,Private for-profit,small,highest,low,0.207,0.3095,0.3636
2233,00145975,strayer university-utah,Sandy,93,3,4,3,7.0,,97.0,False,17595.0,1959.0,4583.0,0.04,0.3793,0.8809999999999999,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,31374.0,31374.0,Bachelor,Private for-profit,small,highest,low,0.207,0.0,0.125
8874,00145975,strayer university-utah,Sandy,99,3,4,3,7.0,,70.0,False,18621.0,2342.0,6111.0,0.04,0.8119,0.9718,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,27054.0,32554.0,Bachelor,Private for-profit,small,highest,low,0.207,0.0,0.4444
808,00145977,strayer university-ohio,Mason,85,2,4,3,3.0,,625.0,False,1912.0,269.0,7070.0,0.2653,0.7437,0.9718,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,29369.0,34752.0,Associates,Private for-profit,large,low,low,0.42635,0.4286,0.2807
1578,00145977,strayer university-ohio,Mason,84,2,4,3,3.0,,913.0,False,12727.0,1427.0,5774.0,0.2203,0.8506,0.7969,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,27632.0,31329.0,Associates,Private for-profit,large,highest,low,0.42635,0.3333,0.303
2234,00145977,strayer university-ohio,Mason,93,2,4,3,3.0,,801.0,False,13409.0,1696.0,4972.0,0.2353,0.2895,0.7969,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,29769.0,31374.0,Associates,Private for-profit,large,highest,low,0.42635,0.5,0.1531
8875,00145977,strayer university-ohio,Mason,99,3,4,3,3.0,,724.0,False,13546.0,1989.0,6688.0,0.2787,0.875,0.8267,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,29548.0,32554.0,Bachelor,Private for-profit,large,highest,low,0.207,0.0,0.3265
928,00145978,strayer university-columbus campus,Columbus,85,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
1718,00145978,strayer university-columbus campus,Columbus,84,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
2382,00145978,strayer university-columbus campus,Columbus,93,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
10152,00145978,strayer university-columbus campus,Columbus,99,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
929,00145979,strayer university-fairview park campus,Fairview Park,85,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
1719,00145979,strayer university-fairview park campus,Fairview Park,84,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
2383,00145979,strayer university-fairview park campus,Fairview Park,93,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
10153,00145979,strayer university-fairview park campus,Fairview Park,99,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
930,00145980,strayer university-akron campus,Akron,85,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
1720,00145980,strayer university-akron campus,Akron,84,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
2384,00145980,strayer university-akron campus,Akron,93,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
10154,00145980,strayer university-akron campus,Akron,99,0,0,3,3.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
927,00145981,strayer university-florence campus,Florence,85,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
1716,00145981,strayer university-florence campus,Florence,84,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
2379,00145981,strayer university-florence campus,Florence,93,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
10138,00145981,strayer university-florence campus,Florence,99,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.8267,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
855,00145988,strayer university-louisiana,Metairie,85,0,0,3,5.0,,128.0,False,0.0,0.0,7632.0,0.2,,0.8267,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,small,,,0.728,0.706,
1619,00145988,strayer university-louisiana,Metairie,84,4,4,3,5.0,,168.0,False,7370.0,818.0,5789.0,0.2,,0.7988,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,24506.5,27901.0,Graduate,Private for-profit,medium,high,low,0.05,0.4583,0.3043
2268,00145988,strayer university-louisiana,Metairie,93,2,4,3,5.0,,131.0,False,13976.0,1932.0,,0.2,0.3439,0.7988,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,20531.0,25409.0,Associates,Private for-profit,small,highest,low,0.42635,0.0,0.15
9051,00145988,strayer university-louisiana,Metairie,99,3,4,3,5.0,,132.0,False,13864.0,1690.0,6111.0,0.2,0.8571,0.7955,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,21600.0,26352.0,Bachelor,Private for-profit,small,highest,low,0.207,0.0,0.0
931,00145996,strayer university-columbus,Columbus,85,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.7955,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
1721,00145996,strayer university-columbus,Columbus,84,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.7955,0.146333575875,0.471905570378,0.073409329776,12667.0,2011,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
2387,00145996,strayer university-columbus,Columbus,93,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.7955,0.112562455389,0.486723768737,0.052962169879,13944.0,2012,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
10166,00145996,strayer university-columbus,Columbus,99,0,0,3,5.0,,156.5,False,8550.5,2898.0,,0.2157,,0.7955,0.112562455389,0.486723768737,0.052962169879,12500.0,2013,19368.0,23380.0,Not classified,Private for-profit,,,,0.728,0.706,
881,001459A1,strayer university-global region,Washington,85,3,4,3,2.0,,3423.0,False,11125.0,4273.0,6406.0,0.0279,0.5974,0.7955,0.16400085306,0.457240349755,0.098101940712,12667.0,2010,31198.0,34752.0,Bachelor,Private for-profit,xl,highest,med,0.12,0.3077,0.1513
9137,001459A1,strayer university-global region,Washington,99,3,4,3,2.0,,1429.0,True,13531.0,1434.0,7535.0,0.0386,0.7025,0.8327,0.16400085306,0.457240349755,0.098101940712,12500.0,2013,30704.0,32554.0,Bachelor,Private for-profit,large,highest,low,0.2667,0.0,0.1111
147,00146200,washington bible college-capital bible seminary,Lanham,1,3,4,2,2.0,0.8667,269.0,False,10879.0,5338.0,3934.0,0.3654,0.6832,0.8327,0.223880597015,0.373134328358,0.0234227067485,17900.0,2010,18655.0,24309.0,Bachelor,Private nonprofit,medium,highest,med,0.1053,0.7059,0.4
1055,00146200,washington bible college-capital bible seminary,Lanham,1,3,4,2,2.0,0.9714,261.0,False,7226.0,9290.0,4793.0,0.3265,0.7582,0.6973,0.172413793103,0.327586206897,0.0234227067485,18304.5,2011,22199.0,26318.0,Bachelor,Private nonprofit,medium,high,high,0.3333,0.6842,0.7692
1812,00146200,washington bible college-capital bible seminary,Lanham,1,3,4,2,2.0,1.0,214.0,False,8933.0,7639.0,4239.0,1.0,0.705,0.6973,0.148514851485,0.346534653465,0.0,15000.0,2012,20954.0,28390.0,Bachelor,Private nonprofit,medium,high,high,0.3182,0.6364,0.0
465,001479A1,embry riddle aeronautical university-worldwide,Daytona Beach,3,3,4,2,5.0,0.7593,10038.0,False,6807.0,3598.0,4431.0,0.1077,0.092,0.6973,0.409579667644,0.217008797654,0.075268817204,15250.0,2010,13290.0,17320.0,Bachelor,Private nonprofit,xl,high,med,0.4063,0.7407,0.3175
79,00153400,everest university-tampa,Tampa,3,1,4,3,5.0,,1766.0,False,14635.0,5359.0,1681.0,0.617,0.8368,0.6973,0.184724983433,0.426938369781,0.03943008615,9500.0,2010,20878.0,23309.0,Certificate,Private for-profit,large,highest,med,0.2636,1.0,0.6
999,00153400,everest university-tampa,Tampa,4,1,4,3,5.0,,1097.0,False,14430.0,5678.0,2006.0,0.4667,0.6942,0.6901,0.209753928254,0.407945449155,0.023124814705,10500.0,2011,20878.0,25560.0,Certificate,Private for-profit,large,highest,med,0.1986,0.5,
1778,00153400,everest university-tampa,Tampa,4,1,4,3,5.0,,841.0,False,11258.0,5180.0,3107.0,0.4667,0.7338,0.6901,0.212244109695,0.41898416377,0.01921591348,12730.0,2012,20116.0,24955.0,Certificate,Private for-profit,large,highest,med,0.3392,0.5,
3253,00153400,everest university-tampa,Tampa,3,1,4,3,5.0,,738.0,False,10008.0,5211.0,4103.0,0.4667,0.6492,0.7168,0.212244109695,0.41898416377,0.01921591348,16382.0,2013,22437.0,27608.0,Certificate,Private for-profit,large,highest,med,0.3502,0.5,
320,00153408,everest university-brandon,Tampa,3,2,4,3,5.0,0.3183,12267.0,False,19457.0,5916.0,2364.0,0.5366,0.8632,0.7168,0.184724983433,0.426938369781,0.03943008615,9500.0,2010,24651.0,28154.0,Associates,Private for-profit,xl,highest,med,0.1821,0.2,0.5833
1202,00153408,everest university-brandon,Tampa,4,2,4,3,5.0,,10516.0,False,14090.0,4084.0,2881.0,0.3902,0.8328,0.7917,0.209753928254,0.407945449155,0.023124814705,10500.0,2011,24651.0,28925.0,Associates,Private for-profit,xl,highest,med,0.2268,0.5,0.35
1931,00153408,everest university-brandon,Tampa,4,2,4,3,5.0,,8182.0,False,11751.0,3450.0,3352.0,0.3902,0.8281,0.7917,0.212244109695,0.41898416377,0.01921591348,12730.0,2012,23113.0,27524.0,Associates,Private for-profit,xl,highest,med,0.2541,0.0,0.3333
6807,00153408,everest university-brandon,Tampa,3,2,4,3,5.0,,4140.0,False,11212.0,3643.0,3270.0,0.3902,0.7578,0.8258,0.212244109695,0.41898416377,0.01921591348,16382.0,2013,23512.0,28979.0,Associates,Private for-profit,xl,highest,med,0.2528,0.0,0.4
601,00153409,everest university-orange park,Orange Park,3,1,3,3,5.0,,1183.0,False,14714.0,5215.0,2304.0,0.5455,0.8242,0.8258,0.184724983433,0.426938369781,0.03943008615,9500.0,2010,21874.0,26152.0,Certificate,Private for-profit,large,highest,med,0.2882,0.0,0.0
1442,00153409,everest university-orange park,Orange Park,4,1,3,3,5.0,,817.0,False,14700.0,6007.0,2895.0,0.3953,0.7312,0.7075,0.209753928254,0.407945449155,0.023124814705,10500.0,2011,21874.0,26280.0,Certificate,Private for-profit,large,highest,high,0.3826,0.5,
2130,00153409,everest university-orange park,Orange Park,4,1,3,3,5.0,,758.0,False,10373.0,5012.0,2839.0,0.3953,0.6879,0.7075,0.212244109695,0.41898416377,0.01921591348,12730.0,2012,21315.0,25806.0,Certificate,Private for-profit,large,highest,med,0.3883,0.5,
8193,00153409,everest university-orange park,Orange Park,3,1,3,3,5.0,,711.0,False,9684.0,4772.0,3556.0,0.3953,0.6108,0.7454,0.212244109695,0.41898416377,0.01921591348,16382.0,2013,22520.0,26993.0,Certificate,Private for-profit,large,high,med,0.4824,0.5,
83,00155200,augusta state university,Augusta,1,3,4,1,5.0,0.6101,5628.0,False,3897.0,5311.0,6053.0,0.5449,0.4344,0.7454,0.196920583468,0.159643435981,0.155591572123,11000.0,2010,7901.0,13000.0,Bachelor,Public,xl,med,med,0.2311,0.6856,0.3457
1003,00155200,augusta state university,Augusta,1,3,4,1,5.0,0.6172,5745.0,False,4263.0,5617.0,5862.0,0.598,0.5463,0.2746,0.218649517685,0.175241157556,0.144694533762,11140.0,2011,9519.0,14449.0,Bachelor,Public,xl,med,med,0.2109,0.6738,0.3778
1781,00155200,augusta state university,Augusta,1,3,4,1,5.0,0.5471,5620.0,False,4840.0,5857.0,6257.0,0.6053,0.5326,0.2746,0.232827187274,0.323210412148,0.011569052784,10667.5,2012,10264.0,14783.0,Bachelor,Public,xl,med,med,0.253,0.6616,0.4531
84,00156700,gainesville state college,Oakwood,1,2,3,1,5.0,0.8319,8620.0,False,2452.0,3185.0,4856.0,0.5112,0.2638,0.2746,0.117694805195,0.148538961039,0.064935064935,5251.0,2010,7487.0,11671.0,Associates,Public,xl,low,med,0.1313,0.75,1.0
1004,00156700,gainesville state college,Oakwood,1,2,3,1,5.0,0.8027,8266.0,False,2609.0,4209.0,5029.0,0.5153,0.2576,0.2041,0.151481274455,0.181106763555,0.062045835662,5056.0,2011,7339.0,12341.0,Associates,Public,xl,med,med,0.1411,0.5556,
1782,00156700,gainesville state college,Oakwood,1,2,3,1,5.0,0.9886,8325.0,False,3235.0,4402.0,4778.0,0.5149,0.3181,0.2041,0.149065420561,0.182242990654,0.065420560748,5275.5,2012,8320.0,12372.0,Associates,Public,xl,med,med,0.1113,0.6667,1.0
98,00175400,seabury-western theological seminary,Evanston,1,4,4,2,3.0,,478.0,False,9070.0,39365.0,5776.0,0.6667,,0.2041,0.6351555000845,0.0,0.0,8500.0,2010,24506.5,26508.0,Graduate,Private nonprofit,,high,highest,0.529,0.9271,
99,00176100,springfield college in illinois,Springfield,1,2,2,2,3.0,,145.0,False,3672.0,4616.0,4008.0,0.2047,0.483,0.2041,0.251428571429,0.125714285714,0.0,7450.0,2010,0.0,24050.5,Associates,Private nonprofit,small,med,med,0.4615,0.587,
1018,00176100,springfield college in illinois,Springfield,1,2,2,2,3.0,,0.0,False,4319.0,10813.0,,0.2047,0.7241,0.2041,0.274611398964,0.119170984456,0.0,11000.0,2011,17908.0,24050.5,Associates,Private nonprofit,,med,highest,0.4063,0.587,
776,001937A1,ottawa university-online,Ottawa,6,3,4,2,4.0,,288.0,False,13615.0,8096.0,,0.6787,0.6731,0.2041,0.239263803681,0.483435582822,0.042944785276,17094.0,2010,20391.0,36240.0,Bachelor,Private nonprofit,medium,,,0.54155,0.7528,
8711,001937A1,ottawa university-online,Ottawa,5,3,4,2,4.0,,379.0,True,35041.0,9048.0,7992.0,1.0,0.6218,0.8799,0.239263803681,0.483435582822,0.042944785276,17000.0,2013,20391.0,36240.0,Bachelor,Private nonprofit,medium,highest,high,0.54155,0.7528,0.0
536,002025A1,southern university law center,Baton Rouge,2,4,4,1,5.0,,2178.5,False,2595.0,6199.0,9919.0,0.5211,,0.8799,0.198867212083,0.23222152297,0.208936438011,22556.5,2010,24506.5,26508.0,Graduate,Public,,med,high,0.529,0.9271,
7920,002025A1,southern university law center,Baton Rouge,1,4,4,1,5.0,,2178.5,True,11554.0,8572.0,10863.0,0.5316,,0.8799,0.198867212083,0.23222152297,0.208936438011,24250.0,2013,24506.5,26508.0,Graduate,Public,,highest,high,0.529,0.9271,
142,00203500,bangor theological seminary,Bangor,1,1,4,2,1.0,,3.0,False,8920.0,12187.0,6694.0,1.0,0.25,0.8799,0.604933726068,0.0,0.0,9500.0,2010,14996.0,19623.0,Certificate,Private nonprofit,small,high,highest,0.3333,0.74085,
1052,00203500,bangor theological seminary,Bangor,1,4,4,2,1.0,,2.0,False,7976.0,12234.0,6625.0,0.375,,1.0,0.0,0.0,0.0,8500.0,2011,24506.5,26508.0,Graduate,Private nonprofit,small,high,highest,0.0,0.9271,
1809,00203500,bangor theological seminary,Bangor,1,4,4,2,1.0,,2.0,False,9911.0,13672.0,5743.0,0.375,,1.0,0.0,0.0,0.0,8500.0,2012,24506.5,26508.0,Graduate,Private nonprofit,,high,highest,0.0,0.9271,
149,00211900,atlantic union college,South Lancaster,1,3,4,2,1.0,,449.0,False,11641.0,6977.0,4179.0,0.9,0.757,1.0,0.296052631579,0.157894736842,0.0234227067485,17000.0,2010,18666.0,24763.0,Bachelor,Private nonprofit,medium,highest,high,0.4302,0.6087,0.4444
914,00224601,cleary university,Howell,2,0,0,2,3.0,,189.0,False,9613.5,8790.0,,0.45,,1.0,0.247967479675,0.459349593496,0.065040650407,18112.5,2010,11516.0,17823.0,Not classified,Private nonprofit,,,,0.6251,0.79425,
1704,00224601,cleary university,Howell,2,0,0,2,3.0,,189.0,False,9613.5,8790.0,,0.45,,1.0,0.319502074689,0.360995850622,0.070539419087,19791.0,2011,11516.0,17823.0,Not classified,Private nonprofit,,,,0.6251,0.79425,
2367,00224601,cleary university,Howell,2,0,0,2,3.0,,189.0,False,9613.5,8790.0,,0.45,,1.0,0.283898305085,0.440677966102,0.059322033898,21122.0,2012,11516.0,17823.0,Not classified,Private nonprofit,,,,0.6251,0.79425,
4197,00224601,cleary university,Ann Arbor,2,3,4,2,3.0,0.7263,450.0,True,13682.0,4903.0,5403.0,0.0403,0.6828,0.6958,0.283898305085,0.440677966102,0.059322033898,20832.0,2013,11516.0,17823.0,Bachelor,Private nonprofit,medium,highest,med,0.4423,0.4333,0.25
9936,00224601,cleary university,Howell,2,0,0,2,3.0,,450.0,False,13682.0,4903.0,,0.0403,,0.6958,0.283898305085,0.440677966102,0.059322033898,20832.0,2013,11516.0,17823.0,Not classified,Private nonprofit,,,,0.4423,0.4333,
157,00224700,concordia university-ann arbor,Ann Arbor,1,3,4,2,3.0,0.6583,430.0,False,11722.0,6502.0,3659.0,0.1732,0.8176,0.6958,0.355704697987,0.167785234899,0.06711409396,14375.0,2010,18117.0,31371.0,Bachelor,Private nonprofit,medium,highest,high,0.3821,0.5859,1.0
1063,00224700,concordia university-ann arbor,Ann Arbor,1,3,4,2,3.0,0.5579,496.0,False,11512.0,6199.0,3998.0,0.25,0.8644,0.0923,0.294117647059,0.100840336134,0.06711409396,12000.0,2011,20576.0,31639.0,Bachelor,Private nonprofit,medium,highest,high,0.4,0.5776,0.0
