,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost,PREDDEG_N,Governance,EnrollmentBins,TuitionBins,ExpenditureBins,Complete,RetentionFT,RetentionPT
4221,Other,great lakes christian college,Lansing,1,3,3,2,3.0,,194.0,True,6274.0,8224.0,7529.0,1.0,0.8251,0.268,0.3835605580215,0.193277310924,0.0234227067485,11000.0,2013,18391.0,25506.0,Bachelor,Private nonprofit,medium,high,high,0.25,0.3871,0.0
5690,Other,great lakes institute of technology,Erie,1,1,2,3,2.0,,453.0,True,9555.0,3204.0,3227.0,0.42979999999999996,0.9566,0.3311,0.56462585034,0.21094177345850001,0.0,9500.0,2013,11556.0,15814.0,Certificate,Private for-profit,medium,high,med,0.7564,0.7879999999999999,
5315,Other,great oaks institute of technology and career development,Cincinnati,1,1,1,1,3.0,,289.0,True,9050.0,18424.0,,0.475,0.5852,0.5571,0.0996921939175,0.033107377935,0.0,7600.0,2013,12676.0,18795.0,Certificate,Public,medium,high,highest,0.8782,0.7731,
6872,Other,great plains technology center,Lawton,1,1,1,1,6.0,,296.0,True,4529.0,8570.0,,0.475,0.0,0.5,0.0996921939175,0.033107377935,0.0,6917.75,2013,10226.0,13501.0,Certificate,Public,medium,med,high,0.9161,0.8992,0.9143
7164,Other,greater altoona career & technology center,Altoona,1,1,1,1,2.0,,264.0,True,8849.0,8398.0,,0.475,0.5271,0.4508,0.0996921939175,0.033107377935,0.0,8693.0,2013,11251.0,14165.0,Certificate,Public,medium,high,high,0.7429,0.9172,0.8333
7478,Other,greater johnstown career and technology center,Johnstown,1,1,1,1,2.0,,228.0,True,6285.0,8663.0,,0.475,0.6429,0.6009,0.0996921939175,0.033107377935,0.0,8455.0,2013,11355.0,14763.0,Certificate,Public,medium,high,high,0.919,0.8283,0.7647
7145,Other,greater lowell technical school,Tyngsboro,1,1,1,1,1.0,1.0,80.0,True,4582.0,4941.0,,0.475,0.506,0.5625,0.0996921939175,0.033107377935,0.0,5500.0,2013,17021.0,20691.0,Certificate,Public,small,med,med,0.8333,0.875,
1724,Other,greater sacramento urban league,Sacramento,5,0,0,1,8.0,,76.0,False,2090.5,4392.5,,0.2481,,0.5625,0.13724730234600002,0.286383144752,0.0,7322.0,2011,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
2390,Other,greater sacramento urban league,Sacramento,5,0,0,1,8.0,,878.0,False,2090.5,4392.5,,0.2481,,0.5625,0.13724730234600002,0.286383144752,0.0,7322.0,2012,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
10180,Other,greater sacramento urban league,Sacramento,5,0,0,1,8.0,,904.0,False,2090.5,4392.5,,0.2481,,0.5625,0.13724730234600002,0.286383144752,0.0,7322.0,2013,14109.5,19036.5,Not classified,Public,,,,0.1481,0.524,
