,NUMBRANCH,UGDS,TUITFTE,INEXPFTE,PFTFAC,UG25abv,DEBT_MDN,Year,Cost,Complete,RetentionFT,PREDDEG_1,PREDDEG_2,PREDDEG_3,PREDDEG_4,CONTROL_2,CONTROL_3
7690,0.8565026871868116,-0.012147921993389916,0.682703150691279,-0.23449500349136215,-0.7317707278145741,-0.7810442432375502,-0.3219917814178868,0.507321609220453,1.1428376152138024,-1.1856035950481132,-0.4490865290383166,-0.9679638654494285,-0.46493857536253186,1.8317346755015234,-0.19805472725301054,-0.5350277832764199,0.8924164866410428
6829,-0.09673398135486179,-0.3672431942743617,18.245988333775244,4.278135702805254,-0.21182040708711053,0.4463696484782199,-0.3219917814178868,0.507321609220453,-0.08841906985952559,1.0996070062294454,0.7347856963452222,1.0330964157796294,-0.46493857536253186,-0.5459305943019302,-0.19805472725301054,-0.5350277832764199,0.8924164866410428
123,-0.31337867875069664,-0.38753435269041725,3.7790843534169483,0.9331220439869867,0.5825133359037621,0.882587247404544,-0.3219917814178868,-2.5643129855847966,-0.746326571156223,-0.43541246235514763,0.2987527198952127,1.0330964157796294,-0.46493857536253186,-0.5459305943019302,-0.19805472725301054,1.8690618155867884,-1.1205530320981514
2423,-0.31337867875069664,-0.17489992178883532,-1.073925368218084,-0.08616580202017124,0.0813564002628331,-0.194711276259657,-1.7809375699914367,0.507321609220453,-1.3855707693258033,-1.0314258003223629,-0.9278138272506455,-0.9679638654494285,2.1508217493466932,-0.5459305943019302,-0.19805472725301054,-0.5350277832764199,-1.1205530320981514
2438,-0.31337867875069664,-0.13664263352523062,-0.8187998571461413,0.0341978637286986,2.169510298766704,-1.1298417160632546,-0.8938498990124326,0.507321609220453,-1.2237526327152686,-1.2920496341464394,-0.6562228513948593,-0.9679638654494285,2.1508217493466932,-0.5459305943019302,-0.19805472725301054,-0.5350277832764199,-1.1205530320981514
4383,-0.31337867875069664,0.273196493232391,-0.7057996307820864,0.09348479946001925,1.2373583984745762,-0.8658152746078479,1.6614936496741401,0.507321609220453,-0.21979204159230512,-0.8168441024574831,-0.015532577722893138,-0.9679638654494285,-0.46493857536253186,1.8317346755015234,-0.19805472725301054,-0.5350277832764199,-1.1205530320981514
3009,-0.31337867875069664,-0.3573089812998345,0.7723283302300261,0.7422852282178679,2.169510298766704,0.9563203840651673,-0.5165178865610268,0.507321609220453,0.42435257695143447,-0.04511031899461814,1.3247936783767582,-0.9679638654494285,-0.46493857536253186,-0.5459305943019302,5.049109475294282,1.8690618155867884,-1.1205530320981514
3188,-0.31337867875069664,-0.3327904982137674,-1.2094256396546277,-0.31738485137232175,-0.21182040708711053,1.3925379829914912,-0.7812679156608403,0.507321609220453,-0.8889600833232407,0.8660170870970072,1.726395750179736,1.0330964157796294,-0.46493857536253186,-0.5459305943019302,-0.19805472725301054,-0.5350277832764199,0.8924164866410428
1344,-0.31337867875069664,-0.3230676514727408,-0.49267420384545624,3.4199293425586648,-1.5511623175874931,2.2133158336028647,0.2615865340115332,-1.5404347873163802,1.4390523871922363,0.00790149809601632,0.36458460958033745,-0.9679638654494285,-0.46493857536253186,1.8317346755015234,-0.19805472725301054,1.8690618155867884,-1.1205530320981514
42,-0.31337867875069664,-0.3220108203052379,0.7027031907557135,-0.048244535580703886,0.651004783774689,0.12273857559057254,-0.3219917814178868,-2.5643129855847966,0.25648711307066063,0.2264960426729365,0.05718549289163842,1.0330964157796294,-0.46493857536253186,-0.5459305943019302,-0.19805472725301054,-0.5350277832764199,0.8924164866410428
